start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6ALPHA GA_361502,8DAVIDSON TN_360048,34.813027,-84.853226,36.06703747,-86.9841046,302.974,500,757941061.2837288,847647515.064887,89706453.78115822,11.836
6CLOUDLANDGA_361633,8DAVIDSON TN_360048,34.81849122,-85.5353055,36.06703747,-86.9841046,232.45,500,589677101.6287861,674466481.6502059,84789380.02141982,14.379
6ROCK SPG GA_361500,8DAVIDSON TN_360048,34.83897801,-85.28020801,36.06703747,-86.9841046,262.794,500,666684271.3405297,756837549.2314669,90153277.89093718,13.523
6WID CRK FP_360068,8DAVIDSON TN_360048,34.88515896,-85.75604163,36.06703747,-86.9841046,198.765,500,502197190.16748047,586313115.4786971,84115925.31121655,16.75
6WRINGOLD GA_361504,8DAVIDSON TN_360048,34.89324284,-85.13750475,36.06703747,-86.9841046,301.521,500,753898944.1609515,848117688.0010908,94218743.84013925,12.498
6BATTLFLD GA_361530,8DAVIDSON TN_360048,34.9555953,-85.26465286,36.06703747,-86.9841046,236.487,500,600823711.2178811,687370695.1232202,86546983.90533915,14.405
6S HAVEN CC_360594,8DAVIDSON TN_360048,34.99627529,-90.0485284,36.06703747,-86.9841046,350.142,500,860320514.7134149,1275872114.845421,415551600.13200617,48.302
6CONCORD TN_361509,8DAVIDSON TN_360048,34.99679719,-85.1610968,36.06703747,-86.9841046,308.477,500,772702142.8665819,869763824.0423105,97061681.1757285,12.561
8BRADLEY TN_360662,8DAVIDSON TN_360048,35.0367008,-84.963798,36.06703747,-86.9841046,271.44,500,679597254.8328873,759549528.5969703,79952273.76408307,11.765
8BENTON MS_360612,8DAVIDSON TN_360048,35.17466126,-89.74553609,36.06703747,-86.9841046,295.774,500,721541769.9293933,1047235128.8921633,325693358.96277,45.139
8ANDERSON TN_360120,8DAVIDSON TN_360048,35.94503289,-84.38856432,36.06703747,-86.9841046,291.519,500,736341736.1856409,807959034.6719064,71617298.48626547,9.726
8BULL RUN FP_360093,8DAVIDSON TN_360048,36.01895969,-84.15785445,36.06703747,-86.9841046,381.729,500,959004175.5537817,1045378717.5792723,86374542.0254905,9.007
8CUMBERLAND_360040,8DAVIDSON TN_360048,36.3921331,-87.65747953,36.06703747,-86.9841046,80.31,500,197719416.35048756,286830752.00812775,89111335.65764017,45.07
