fid,start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,voltage,polarity,start_option,end_option,rid
136,6CENTER PNT_360533,8FRANKLIN TN_360069,34.6665318,-84.97089121,35.33506701,-86.11727644,500,ac,default,default,6CENTER_PNT_360533-8FRANKLIN_TN_360069
137,6CENTER PNT_360533,8GLEASON CT_360582,34.6665318,-84.97089121,36.24522988,-88.6114255,500,ac,default,default,6CENTER_PNT_360533-8GLEASON_CT_360582
138,6CENTER PNT_360533,8HAYWOOD TN_360542,34.6665318,-84.97089121,35.54308246,-89.19654872,500,ac,default,default,6CENTER_PNT_360533-8HAYWOOD_TN_360542
139,6CENTER PNT_360533,8HIWASSEE TN_360110,34.6665318,-84.97089121,35.60032498,-84.78911434,500,ac,default,default,6CENTER_PNT_360533-8HIWASSEE_TN_360110
140,6CENTER PNT_360533,8JACKSON TN_360019,34.6665318,-84.97089121,35.70901203,-88.79407261,500,ac,default,default,6CENTER_PNT_360533-8JACKSON_TN_360019
141,6CENTER PNT_360533,8JVILLE FP_360037,34.6665318,-84.97089121,36.02382902,-87.98154082,500,ac,default,default,6CENTER_PNT_360533-8JVILLE_FP_360037
142,6CENTER PNT_360533,8LAG CRK CC_360615,34.6665318,-84.97089121,35.65702785,-89.39460044,500,ac,default,default,6CENTER_PNT_360533-8LAG_CRK_CC_360615
143,6CENTER PNT_360533,8LAG CRK CT_360568,34.6665318,-84.97089121,36.27534882,-88.83423675,500,ac,default,default,6CENTER_PNT_360533-8LAG_CRK_CT_360568
144,6CENTER PNT_360533,8LIMESTONE_360088,34.6665318,-84.97089121,34.71890958,-86.84630969,500,ac,default,default,6CENTER_PNT_360533-8LIMESTONE_360088
145,6CENTER PNT_360533,8MADISON AL_360060,34.6665318,-84.97089121,34.79577878,-86.52158584,500,ac,default,default,6CENTER_PNT_360533-8MADISON_AL_360060
146,6CENTER PNT_360533,8MAGNOL CC1_360613,34.6665318,-84.97089121,34.8287922,-89.20041124,500,ac,default,default,6CENTER_PNT_360533-8MAGNOL_CC1_360613
147,6CENTER PNT_360533,8MARSHALL KY_360015,34.6665318,-84.97089121,37.02455006,-88.39384277,500,ac,default,default,6CENTER_PNT_360533-8MARSHALL_KY_360015
148,6CENTER PNT_360533,8MAURY TN_360050,34.6665318,-84.97089121,35.672863,-87.01861625,500,ac,default,default,6CENTER_PNT_360533-8MAURY_TN_360050
149,6CENTER PNT_360533,8MONTGOMERY_360044,34.6665318,-84.97089121,36.59438524,-87.25325857,500,ac,default,default,6CENTER_PNT_360533-8MONTGOMERY_360044
150,6CENTER PNT_360533,8PARADIS CC5_360185,34.6665318,-84.97089121,37.25966758,-86.97670194,500,ac,default,default,6CENTER_PNT_360533-8PARADIS_CC5_360185
151,6CENTER PNT_360533,8PARADISE CC_360117,34.6665318,-84.97089121,37.259697,-86.976991,500,ac,default,default,6CENTER_PNT_360533-8PARADISE_CC_360117
152,6CENTER PNT_360533,8PHIPPS B NP_360102,34.6665318,-84.97089121,36.46070569,-82.80788409,500,ac,default,default,6CENTER_PNT_360533-8PHIPPS_B_NP_360102
153,6CENTER PNT_360533,8PIN HOOK TN_360581,34.6665318,-84.97089121,36.04646628,-86.60595108,500,ac,default,default,6CENTER_PNT_360533-8PIN_HOOK_TN_360581
