start_BusName,end_BusName,start_lat,start_lon,end_lat,end_lon,length_km,voltage,cost_before_penalty,cost_after_penalty,added_cost,pct_increase
6YOUNG GA_361454,8CUMBERLAND_360040,34.75072952,-85.27349349,36.3921331,-87.65747953,327.823,500,821345313.9740916,871822477.1401644,50477163.16607272,6.146
6KENSNGTN GA_361503,8CUMBERLAND_360040,34.81265905,-85.32344844,36.3921331,-87.65747953,328.119,500,821719544.2152979,872334258.7427367,50614714.527438775,6.16
6ALPHA GA_361502,8CUMBERLAND_360040,34.813027,-84.853226,36.3921331,-87.65747953,373.599,500,929583730.6628973,973902146.3811164,44318415.71821904,4.768
6CLOUDLANDGA_361633,8CUMBERLAND_360040,34.81849122,-85.5353055,36.3921331,-87.65747953,301.814,500,753969577.7405622,801341841.8917809,47372264.15121859,6.283
6ROCK SPG GA_361500,8CUMBERLAND_360040,34.83897801,-85.28020801,36.3921331,-87.65747953,332.157,500,830976747.4523056,881598997.6930068,50622250.240701236,6.092
6WID CRK FP_360068,8CUMBERLAND_360040,34.88515896,-85.75604163,36.3921331,-87.65747953,268.286,500,666174178.2495325,712735744.2162967,46561565.96676426,6.989
6WRINGOLD GA_361504,8CUMBERLAND_360040,34.89324284,-85.13750475,36.3921331,-87.65747953,372.146,500,925541613.5401199,970233875.4401644,44692261.90004461,4.829
6BATTLFLD GA_361530,8CUMBERLAND_360040,34.9555953,-85.26465286,36.3921331,-87.65747953,307.112,500,772466380.5970496,819977504.1105852,47511123.513535604,6.151
6S HAVEN CC_360594,8CUMBERLAND_360040,34.99627529,-90.0485284,36.3921331,-87.65747953,324.533,500,793260142.974673,1029281059.3679396,236020916.3932666,29.753
6CONCORD TN_361509,8CUMBERLAND_360040,34.99679719,-85.1610968,36.3921331,-87.65747953,379.102,500,944344812.2457504,989022654.4413708,44677842.19562046,4.731
8BRADLEY TN_360662,8CUMBERLAND_360040,35.0367008,-84.963798,36.3921331,-87.65747953,342.065,500,851239924.2120557,895286969.6711998,44047045.45914416,5.174
8BENTON MS_360612,8CUMBERLAND_360040,35.17466126,-89.74553609,36.3921331,-87.65747953,259.462,500,630783213.7351975,826975863.6589739,196192649.92377633,31.103
8ANDERSON TN_360120,8CUMBERLAND_360040,35.94503289,-84.38856432,36.3921331,-87.65747953,367.387,500,902784303.565125,990429758.0714641,87645454.50633912,9.708
8BULL RUN FP_360093,8CUMBERLAND_360040,36.01895969,-84.15785445,36.3921331,-87.65747953,421.863,500,1036710850.3847916,1120021141.2575324,83310290.87274078,8.036
7SHAWNEE FP_360002,8CUMBERLAND_360040,37.150267,-88.778122,36.3921331,-87.65747953,213.122,500,510284161.2643982,676388777.0682776,166104615.8038794,32.551
8CHOCTAW MS_360654,8WID CRK FP_360065,33.2984397,-89.4127739,34.88726197,-85.75423778,412.691,500,1001168029.1461052,1101251972.6747973,100083943.52869204,9.997
8ACKERMAN CC_360627,8WID CRK FP_360065,33.38593855,-89.20997726,34.88726197,-85.75423778,391.086,500,947651821.633821,1033156931.3675082,85505109.73368718,9.023
8CLAY_360688,8WID CRK FP_360065,33.47863869,-88.74043971,34.88726197,-85.75423778,344.376,500,835428955.7798676,892812006.1530081,57383050.37314041,6.869
8WEST POINT_360035,8WID CRK FP_360065,33.63551392,-88.65363834,34.88726197,-85.75423778,327.072,500,789215754.6662996,834744886.3935486,45529131.727249,5.769
8COGEN CALED_360606,8WID CRK FP_360065,33.64779158,-88.31593565,34.88726197,-85.75423778,297.192,500,720378169.2790447,749919522.7755978,29541353.496553108,4.101
